utt1,utt2,label,prediction,score,threshold,error_type,stratum,gender,age_bin,ethnicity
SPEAKER0403_2.wav,SPEAKER0681_1.wav,0,1,0.5082307457923889,0.4466330111026764,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0403_3.wav,SPEAKER0795_8.wav,0,1,0.4466330111026764,0.4466330111026764,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0610_1.wav,SPEAKER0610_4.wav,1,0,0.36020419001579285,0.4466330111026764,false_negative,"nsc_pt1.F.(21,24].INDIAN",F,"(21,24]",INDIAN
SPEAKER0305_1.wav,SPEAKER0305_7.wav,1,0,0.38207584619522095,0.4466330111026764,false_negative,"nsc_pt1.F.(21,24].MALAY",F,"(21,24]",MALAY
SPEAKER0335_2.wav,SPEAKER0335_3.wav,1,0,0.3712656497955322,0.4466330111026764,false_negative,"nsc_pt1.F.(21,24].MALAY",F,"(21,24]",MALAY
SPEAKER0335_3.wav,SPEAKER0335_7.wav,1,0,0.4092636704444885,0.4466330111026764,false_negative,"nsc_pt1.F.(21,24].MALAY",F,"(21,24]",MALAY
SPEAKER0335_3.wav,SPEAKER0335_9.wav,1,0,0.40742045640945435,0.4466330111026764,false_negative,"nsc_pt1.F.(21,24].MALAY",F,"(21,24]",MALAY
SPEAKER0119_6.wav,SPEAKER0119_9.wav,1,0,0.39975064992904663,0.4466330111026764,false_negative,"nsc_pt1.F.(24,31].CHINESE",F,"(24,31]",CHINESE
SPEAKER0236_1.wav,SPEAKER0236_9.wav,1,0,0.39657142758369446,0.4466330111026764,false_negative,"nsc_pt1.F.(24,31].MALAY",F,"(24,31]",MALAY
SPEAKER0491_8.wav,SPEAKER0108_1.wav,0,1,0.4769548773765564,0.4466330111026764,false_positive,"nsc_pt1.F.(31,44].CHINESE",F,"(31,44]",CHINESE
SPEAKER0609_6.wav,SPEAKER0609_8.wav,1,0,0.444606214761734,0.4466330111026764,false_negative,"nsc_pt1.F.(31,44].INDIAN",F,"(31,44]",INDIAN
SPEAKER0235_1.wav,SPEAKER0944_6.wav,0,1,0.4891044497489929,0.4466330111026764,false_positive,"nsc_pt1.F.(31,44].MALAY",F,"(31,44]",MALAY
SPEAKER0235_3.wav,SPEAKER0944_7.wav,0,1,0.4809470772743225,0.4466330111026764,false_positive,"nsc_pt1.F.(31,44].MALAY",F,"(31,44]",MALAY
SPEAKER0944_10.wav,SPEAKER0235_3.wav,0,1,0.47198569774627686,0.4466330111026764,false_positive,"nsc_pt1.F.(31,44].MALAY",F,"(31,44]",MALAY
SPEAKER0608_1.wav,SPEAKER0608_9.wav,1,0,0.3787637948989868,0.4466330111026764,false_negative,"nsc_pt1.F.(44,68].INDIAN",F,"(44,68]",INDIAN
SPEAKER0608_10.wav,SPEAKER0608_9.wav,1,0,0.4343945384025574,0.4466330111026764,false_negative,"nsc_pt1.F.(44,68].INDIAN",F,"(44,68]",INDIAN
SPEAKER0363_5.wav,SPEAKER0363_9.wav,1,0,0.43776705861091614,0.4466330111026764,false_negative,"nsc_pt1.F.(44,68].MALAY",F,"(44,68]",MALAY
