utt1,utt2,label,stratum
SPEAKER2687_1.wav,SPEAKER2687_10.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_1.wav,SPEAKER2687_2.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_1.wav,SPEAKER2687_3.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_1.wav,SPEAKER2687_4.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_1.wav,SPEAKER2687_5.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_1.wav,SPEAKER2687_6.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_1.wav,SPEAKER2687_7.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_1.wav,SPEAKER2687_8.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_1.wav,SPEAKER2687_9.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_10.wav,SPEAKER2687_2.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_10.wav,SPEAKER2687_3.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_10.wav,SPEAKER2687_4.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_10.wav,SPEAKER2687_5.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_10.wav,SPEAKER2687_6.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_10.wav,SPEAKER2687_7.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_10.wav,SPEAKER2687_8.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_10.wav,SPEAKER2687_9.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_2.wav,SPEAKER2687_3.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_2.wav,SPEAKER2687_4.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_2.wav,SPEAKER2687_5.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_2.wav,SPEAKER2687_6.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_2.wav,SPEAKER2687_7.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_2.wav,SPEAKER2687_8.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_2.wav,SPEAKER2687_9.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_3.wav,SPEAKER2687_4.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_3.wav,SPEAKER2687_5.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_3.wav,SPEAKER2687_6.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_3.wav,SPEAKER2687_7.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_3.wav,SPEAKER2687_8.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_3.wav,SPEAKER2687_9.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_4.wav,SPEAKER2687_5.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_4.wav,SPEAKER2687_6.wav,1,"nsc_pt2.F.(21,24].CHINESE"
SPEAKER2687_4.wav,SPEAKER2687_7.wav,1,"nsc_pt2.F.(21,24].CHINESE"
