utt1,utt2,label,prediction,score,threshold,error_type,stratum,gender,age_bin,ethnicity
SPEAKER0681_4.wav,SPEAKER0681_6.wav,1,0,0.952709972858429,0.95444256067276,false_negative,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0795_1.wav,SPEAKER0795_4.wav,1,0,0.9505412578582764,0.95444256067276,false_negative,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0403_1.wav,SPEAKER0795_3.wav,0,1,0.960903525352478,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0403_10.wav,SPEAKER0681_10.wav,0,1,0.9562419056892395,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0403_2.wav,SPEAKER0681_1.wav,0,1,0.9552284479141235,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0403_2.wav,SPEAKER0795_1.wav,0,1,0.9557685256004333,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0403_3.wav,SPEAKER0795_8.wav,0,1,0.9544702768325806,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0403_6.wav,SPEAKER0795_5.wav,0,1,0.955098032951355,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0403_9.wav,SPEAKER0795_9.wav,0,1,0.9581348299980164,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0681_2.wav,SPEAKER0403_1.wav,0,1,0.9598187208175659,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0795_1.wav,SPEAKER0403_10.wav,0,1,0.9561437368392944,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0795_2.wav,SPEAKER0403_4.wav,0,1,0.96177077293396,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0795_3.wav,SPEAKER0403_8.wav,0,1,0.9610626101493835,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0795_4.wav,SPEAKER0403_6.wav,0,1,0.9545145034790039,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0795_5.wav,SPEAKER0403_8.wav,0,1,0.961692214012146,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0795_8.wav,SPEAKER0403_6.wav,0,1,0.9561887979507446,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0795_9.wav,SPEAKER0403_1.wav,0,1,0.9579060673713684,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].CHINESE",F,"(21,24]",CHINESE
SPEAKER0578_1.wav,SPEAKER0578_10.wav,1,0,0.9494661092758179,0.95444256067276,false_negative,"nsc_pt1.F.(21,24].INDIAN",F,"(21,24]",INDIAN
SPEAKER0578_1.wav,SPEAKER0578_7.wav,1,0,0.9536653757095337,0.95444256067276,false_negative,"nsc_pt1.F.(21,24].INDIAN",F,"(21,24]",INDIAN
SPEAKER0001_6.wav,SPEAKER0001_7.wav,1,0,0.9507783651351929,0.95444256067276,false_negative,"nsc_pt1.F.(21,24].MALAY",F,"(21,24]",MALAY
SPEAKER0305_7.wav,SPEAKER0305_9.wav,1,0,0.9497251510620117,0.95444256067276,false_negative,"nsc_pt1.F.(21,24].MALAY",F,"(21,24]",MALAY
SPEAKER0335_2.wav,SPEAKER0335_3.wav,1,0,0.9520869851112366,0.95444256067276,false_negative,"nsc_pt1.F.(21,24].MALAY",F,"(21,24]",MALAY
SPEAKER0335_2.wav,SPEAKER0335_9.wav,1,0,0.9496889710426331,0.95444256067276,false_negative,"nsc_pt1.F.(21,24].MALAY",F,"(21,24]",MALAY
SPEAKER0335_3.wav,SPEAKER0335_9.wav,1,0,0.9451073408126831,0.95444256067276,false_negative,"nsc_pt1.F.(21,24].MALAY",F,"(21,24]",MALAY
SPEAKER0001_9.wav,SPEAKER0335_4.wav,0,1,0.9589394927024841,0.95444256067276,false_positive,"nsc_pt1.F.(21,24].MALAY",F,"(21,24]",MALAY
