utt1,utt2,label,stratum
SPEAKER0403_1.wav,SPEAKER0403_10.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_1.wav,SPEAKER0403_2.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_1.wav,SPEAKER0403_3.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_1.wav,SPEAKER0403_4.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_1.wav,SPEAKER0403_5.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_1.wav,SPEAKER0403_6.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_1.wav,SPEAKER0403_7.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_1.wav,SPEAKER0403_8.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_1.wav,SPEAKER0403_9.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_10.wav,SPEAKER0403_2.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_10.wav,SPEAKER0403_3.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_10.wav,SPEAKER0403_4.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_10.wav,SPEAKER0403_5.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_10.wav,SPEAKER0403_6.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_10.wav,SPEAKER0403_7.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_10.wav,SPEAKER0403_8.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_10.wav,SPEAKER0403_9.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_2.wav,SPEAKER0403_3.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_2.wav,SPEAKER0403_4.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_2.wav,SPEAKER0403_5.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_2.wav,SPEAKER0403_6.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_2.wav,SPEAKER0403_7.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_2.wav,SPEAKER0403_8.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_2.wav,SPEAKER0403_9.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_3.wav,SPEAKER0403_4.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_3.wav,SPEAKER0403_5.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_3.wav,SPEAKER0403_6.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_3.wav,SPEAKER0403_7.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_3.wav,SPEAKER0403_8.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_3.wav,SPEAKER0403_9.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_4.wav,SPEAKER0403_5.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_4.wav,SPEAKER0403_6.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_4.wav,SPEAKER0403_7.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_4.wav,SPEAKER0403_8.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_4.wav,SPEAKER0403_9.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_5.wav,SPEAKER0403_6.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_5.wav,SPEAKER0403_7.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_5.wav,SPEAKER0403_8.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_5.wav,SPEAKER0403_9.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_6.wav,SPEAKER0403_7.wav,1,"nsc_pt1.F.(21,24].CHINESE"
SPEAKER0403_6.wav,SPEAKER0403_8.wav,1,"nsc_pt1.F.(21,24].CHINESE"
